time,win,loss,prim_tent,prim_gale,seg_gale,white,black,red
2022-09-03 17:42:51.237054,0,1,0,0,0,0,0,0
2022-09-03 17:46:05.352537,1,0,1,0,0,0,1,0
2022-09-03 17:47:35.370224,1,0,0,1,0,0,0,1
2022-09-03 17:48:35.278364,1,0,1,0,0,0,1,0
2022-09-03 17:50:43.366718,1,0,1,0,0,0,0,1
2022-09-03 17:52:05.608907,1,0,1,0,0,0,0,1
2022-09-03 17:54:05.732809,0,1,0,0,0,0,0,0
2022-09-03 17:55:35.641152,1,0,1,0,0,0,0,1
2022-09-03 17:56:35.669702,1,0,1,0,0,0,1,0
2022-09-03 17:58:05.757812,1,0,1,0,0,0,1,0
2022-09-03 18:00:06.038303,0,1,0,0,0,0,0,0
2022-09-03 18:02:05.951333,1,0,0,1,0,0,1,0
2022-09-03 18:03:36.062795,1,0,1,0,0,0,1,0
2022-09-03 18:05:36.257611,1,0,0,1,0,0,1,0
2022-09-03 18:07:36.180822,1,0,1,0,0,0,0,1
2022-09-03 18:09:06.272826,1,0,1,0,0,0,0,1
2022-09-03 18:10:36.486486,1,0,1,0,0,0,0,1
2022-09-03 18:11:36.353422,1,0,1,0,0,0,1,0
2022-09-03 18:13:36.590952,1,0,0,0,1,0,0,1
